epoch,loss,train_acc,val_acc,iter_per_sec,Activation,Fold,learning_rate,momentum
1,0.6937572585322265,91.17555555555555,91.09333333333333,1071.5250663463257,Sigmoid,1,0.04,0.85
2,0.2708145876747306,92.92666666666666,92.82666666666667,1244.2762454283586,Sigmoid,1,0.04,0.85
3,0.2111725283386949,94.77111111111111,94.36,1257.7009654957237,Sigmoid,1,0.04,0.85
4,0.17271488630529172,95.72,95.11333333333334,1184.593805426976,Sigmoid,1,0.04,0.85
5,0.14501678821302202,96.25333333333333,95.74666666666667,1328.4979247656934,Sigmoid,1,0.04,0.85
1,0.38271401660343873,94.32666666666667,93.70666666666668,1295.7175454508927,Tanh,2,0.04,0.85
2,0.1522304945724958,96.85111111111111,95.87333333333333,1245.07534903504,Tanh,2,0.04,0.85
3,0.10295246310657603,97.86444444444444,96.56666666666666,1192.6913932356324,Tanh,2,0.04,0.85
4,0.07521980765392822,98.01555555555555,96.62666666666667,1296.3334739927602,Tanh,2,0.04,0.85
5,0.057371404297525366,98.80888888888889,97.16666666666667,1276.4392264518196,Tanh,2,0.04,0.85
1,0.3633474182896372,95.71555555555555,94.89333333333333,1269.550952972246,ReLU,3,0.04,0.85
2,0.13313805486951855,97.20222222222222,96.38,1295.5812891738985,ReLU,3,0.04,0.85
3,0.0922554811802873,97.89999999999999,96.73333333333333,1225.574629002872,ReLU,3,0.04,0.85
4,0.06807127860613169,98.60444444444444,97.04666666666667,1287.0778346576217,ReLU,3,0.04,0.85
5,0.052802315892206145,98.80444444444444,97.21333333333332,1264.3509185387877,ReLU,3,0.04,0.85
1,0.36763831169705985,95.4888888888889,94.72,1196.8222558290317,Leaky_ReLU,4,0.04,0.85
2,0.13575811184951356,96.97333333333333,95.83333333333334,1228.187001049125,Leaky_ReLU,4,0.04,0.85
3,0.09600940907405967,97.96000000000001,96.73333333333333,1217.3563594821962,Leaky_ReLU,4,0.04,0.85
4,0.07434925035906424,98.42888888888889,96.84666666666666,1237.638989979785,Leaky_ReLU,4,0.04,0.85
5,0.05868327965788474,98.66444444444444,97.06,1201.3165226511023,Leaky_ReLU,4,0.04,0.85
1,0.7918187261000018,90.52444444444444,90.50666666666667,880.2796137822402,Sigmoid,1,0.04,0.8
2,0.29790753054158253,92.06888888888889,91.97333333333333,1061.3180395548475,Sigmoid,1,0.04,0.8
3,0.24191081819746496,93.84222222222223,93.48666666666666,1172.2761265808604,Sigmoid,1,0.04,0.8
4,0.20380047322537245,94.72444444444444,94.38,1141.0163697401588,Sigmoid,1,0.04,0.8
5,0.17525086827309627,95.26,94.85333333333334,979.9072740532333,Sigmoid,1,0.04,0.8
1,0.4145079554440331,93.77777777777779,93.15333333333334,601.2491765839297,Tanh,2,0.04,0.8
2,0.17224300484238253,96.22,95.36666666666666,1174.163511030765,Tanh,2,0.04,0.8
3,0.11820404904536597,97.4888888888889,96.34666666666666,1132.8764615713915,Tanh,2,0.04,0.8
4,0.0884127595857238,97.72666666666666,96.55333333333334,1257.4152989804331,Tanh,2,0.04,0.8
5,0.0690927174787467,98.4,96.98666666666666,1212.7253090593147,Tanh,2,0.04,0.8
1,0.39700935613852084,95.01777777777778,94.38,1212.66026792677,ReLU,3,0.04,0.8
2,0.14950105671912955,96.99777777777778,96.16,1294.5706452423854,ReLU,3,0.04,0.8
3,0.10220521388741939,97.83555555555556,96.72666666666667,1179.424186028664,ReLU,3,0.04,0.8
4,0.07533872503375257,98.32888888888888,96.93333333333334,1242.0900030182013,ReLU,3,0.04,0.8
5,0.05975171722656638,98.60666666666667,97.12666666666667,1258.4599785344346,ReLU,3,0.04,0.8
1,0.40287714074194864,94.95777777777778,94.34,1160.906263684166,Leaky_ReLU,4,0.04,0.8
2,0.15231311750402707,96.89777777777778,96.00666666666666,1172.149461235791,Leaky_ReLU,4,0.04,0.8
3,0.10619175384472977,97.79555555555555,96.52,1120.5128024602961,Leaky_ReLU,4,0.04,0.8
4,0.08078753232338018,98.17777777777778,96.73333333333333,1241.6760390493266,Leaky_ReLU,4,0.04,0.8
5,0.0646100062297158,98.22222222222223,96.67999999999999,1200.7565284961127,Leaky_ReLU,4,0.04,0.8
1,0.8870427844655057,89.92888888888889,89.94,884.7576502696603,Sigmoid,1,0.04,0.75
2,0.31897126528714187,91.48444444444445,91.44666666666666,1117.0699751936195,Sigmoid,1,0.04,0.75
3,0.2641965572683945,93.17555555555556,92.77333333333333,1104.0516529946076,Sigmoid,1,0.04,0.75
4,0.22742463401138097,93.96888888888888,93.76666666666667,1142.2447364076245,Sigmoid,1,0.04,0.75
5,0.1990925894568999,94.57111111111111,94.24,916.4213063577406,Sigmoid,1,0.04,0.75
1,0.4444165556109423,93.31777777777778,92.75999999999999,1193.8913271821232,Tanh,2,0.04,0.75
2,0.18950225126552986,95.64888888888889,94.88666666666667,1184.7552836210307,Tanh,2,0.04,0.75
3,0.13307820132462422,97.12444444444445,96.04,1158.3393565267402,Tanh,2,0.04,0.75
4,0.10085091575509117,97.3711111111111,96.27333333333333,1170.3534843356215,Tanh,2,0.04,0.75
5,0.08011391277896704,98.18444444444444,96.84666666666666,1081.0610390440681,Tanh,2,0.04,0.75
1,0.42878735180972294,94.30222222222223,93.8,1272.4921033452215,ReLU,3,0.04,0.75
2,0.1674732340827155,96.59111111111112,95.84,1142.83932915204,ReLU,3,0.04,0.75
3,0.1142043134883826,97.3911111111111,96.36,1154.887859910163,ReLU,3,0.04,0.75
4,0.08572019291181336,98.05333333333334,96.71333333333332,1162.8937447460382,ReLU,3,0.04,0.75
5,0.06817968429087422,98.2911111111111,96.91333333333333,1150.033787074278,ReLU,3,0.04,0.75
1,0.4355490983861686,94.23777777777778,93.83333333333333,1179.7257417882881,Leaky_ReLU,4,0.04,0.75
2,0.16863436665660936,96.53333333333333,95.74000000000001,1133.2754528148657,Leaky_ReLU,4,0.04,0.75
3,0.116858882699475,97.51555555555555,96.38,1117.6316560169385,Leaky_ReLU,4,0.04,0.75
4,0.08947282774301205,97.98,96.72666666666667,1147.058559139045,Leaky_ReLU,4,0.04,0.75
5,0.07117385981119503,98.28888888888889,96.98,1065.0258042079577,Leaky_ReLU,4,0.04,0.75
1,0.9788012213630239,89.39777777777778,89.26666666666667,938.7015505935177,Sigmoid,1,0.04,0.7
2,0.33773951266542185,91.03333333333333,91.06,1091.0066199307835,Sigmoid,1,0.04,0.7
3,0.2815019975969939,92.62,92.21333333333334,823.981348325714,Sigmoid,1,0.04,0.7
4,0.24619771886499076,93.40666666666667,93.20666666666668,1060.847754119437,Sigmoid,1,0.04,0.7
