Epoch,Train Loss,Test Loss,Accuracy
1,0.5476671912427395,0.42571201844579853,0.8419
2,0.3946660238383675,0.38644312977031536,0.858
3,0.3549634239741607,0.36001127654579795,0.8684
4,0.3386141369417151,0.3623260377318996,0.8707
5,0.3195600636494058,0.3483740095120327,0.8733
6,0.3043666602229513,0.34581716330188095,0.8753
7,0.2949455984190964,0.34581575670819376,0.8751
8,0.2849342627073529,0.3228139058704589,0.8821
9,0.2752581183224726,0.3247879843233497,0.886
10,0.2667109316616043,0.33336552488765897,0.8815
11,0.26234192121575384,0.32205665367803754,0.889
12,0.2526792947337953,0.32506916116756995,0.8883
13,0.24785886824861772,0.3229940881015389,0.886
